,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
457,246133,37.93122787410926,LH,V2d,V2,dorsal
458,249947,22.957109267868958,LH,V2d,V2,dorsal
459,251833,33.75002250436317,LH,V2d,V2,dorsal
460,257845,25.894803025244894,LH,V2d,V2,dorsal
461,263436,19.902412032654293,LH,V2d,V2,dorsal
462,283543,14.62307661058349,LH,V2d,V2,dorsal
463,318637,18.755217256131,LH,V2d,V2,dorsal
464,320826,23.899594163297298,LH,V2d,V2,dorsal
465,330324,21.301597795596187,LH,V2d,V2,dorsal
466,346137,27.050082576157838,LH,V2d,V2,dorsal
467,352738,20.043161143705696,LH,V2d,V2,dorsal
468,360030,38.040606463220556,LH,V2d,V2,dorsal
469,365343,17.35056590418116,LH,V2d,V2,dorsal
470,380036,21.351485745136277,LH,V2d,V2,dorsal
471,381038,27.86414665906329,LH,V2d,V2,dorsal
472,385046,19.199893972308498,LH,V2d,V2,dorsal
473,389357,35.486083946015874,LH,V2d,V2,dorsal
474,393247,23.446631303325475,LH,V2d,V2,dorsal
475,395756,29.591635317364624,LH,V2d,V2,dorsal
476,397760,20.099507324104227,LH,V2d,V2,dorsal
477,401422,19.970976511820563,LH,V2d,V2,dorsal
478,406836,22.273773911609286,LH,V2d,V2,dorsal
479,412528,20.497361141745706,LH,V2d,V2,dorsal
480,429040,21.26610427908776,LH,V2d,V2,dorsal
481,436845,46.00971260603285,LH,V2d,V2,dorsal
482,463040,22.490620922179122,LH,V2d,V2,dorsal
483,467351,19.64346195659338,LH,V2d,V2,dorsal
484,525541,15.998625111519226,LH,V2d,V2,dorsal
485,536647,24.188876169062425,LH,V2d,V2,dorsal
486,541943,30.035806526420725,LH,V2d,V2,dorsal
487,547046,24.42392284183215,LH,V2d,V2,dorsal
488,550439,24.56694508982191,LH,V2d,V2,dorsal
489,552241,18.999115244990016,LH,V2d,V2,dorsal
490,562345,35.98466187783543,LH,V2d,V2,dorsal
